TestId,Seed,Scenario,Duration,FailureInjected,RecoveryTimeMs,MissedDetections,FalseAlarms,TotalOpportunities,Hits,DetectionRatePct,SchedulerStability,SystemStatus
STRESS-TEST-001,42,RANDOM_RF_NOISE,"36s (200 dwells)","RANDOM_RF_NOISE",180,22,47,50,28,56,STABLE,PASS
STRESS-TEST-002,59,EMITTER_DENSITY_INCREASE,"36s (200 dwells)","EMITTER_DENSITY_INCREASE",180,34,0,200,166,83,STABLE,PASS
STRESS-TEST-003,76,FREQUENCY_COLLISION,"36s (200 dwells)","FREQUENCY_COLLISION",180,24,0,200,176,88,STABLE,PASS
STRESS-TEST-004,93,FREQUENCY_HOPPING_RATE_INCREASE,"36s (200 dwells)","FREQUENCY_HOPPING_RATE_INCREASE",9999,200,0,200,0,0,STRESSED,FAIL
STRESS-TEST-005,110,INTERMITTENT_EMITTER_LOSS,"36s (200 dwells)","INTERMITTENT_EMITTER_LOSS",180,29,0,43,14,32.6,STRESSED,PASS
STRESS-TEST-006,127,RECEIVER_DROPOUT,"36s (200 dwells)","RF_OFFLINE",7200,104,0,159,55,34.6,STRESSED,DEGRADED
STRESS-TEST-007,144,CAMERA_OFFLINE,"36s (200 dwells)","CAMERA_OFFLINE",18000,37,0,200,163,81.5,STABLE,DEGRADED
STRESS-TEST-008,161,RADAR_TRACK_DROP,"36s (200 dwells)","RADAR_TRACK_DROP",5400,37,0,200,163,81.5,STABLE,DEGRADED
STRESS-TEST-009,178,WEBSOCKET_INTERRUPTION,"36s (200 dwells)","CONNECTION_LOST_RECONNECTING",5400,37,0,200,163,81.5,STABLE,DEGRADED
STRESS-TEST-010,195,HIGH_ENTITY_COUNT,"36s (200 dwells)","HIGH_ENTITY_COUNT",180,14,0,200,186,93,STABLE,PASS
